,symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk,file_name
173,TOR,590,Torcoin,"$97,197 ",$0.307413,"316,179",Low Vol,0.16%,-3.04%,-13.66%,r_20170804-070005
174,MGO,48,MobileGo,"$88,109,734 ",$0.918539,"95,923,781",*,"$273,379",-1.07%,7.88%,r_20170804-070005
175,XHI,390,HiCoin,"$387,922 ",$0.002045,"189,729,990","$144,002",6.08%,-14.30%,-33.15%,r_20170804-070005
176,CAP,554,Bottlecaps,"$157,233 ",$0.000975,"161,263,299",Low Vol,0.19%,-1.12%,-8.19%,r_20170804-070005
177,ERY,443,Eryllium,"$53,345 ",$0.011473,"4,649,582","$1,409",0.13%,12.90%,-9.71%,r_20170804-070005
178,BAY,96,BitBay,"$24,222,265 ",$0.024039,"1,007,644,593",*,"$67,778",0.71%,4.85%,r_20170804-070005
179,OS76,757,OsmiumCoin,"$12,453 ",$0.013929,"894,026",Low Vol,0.25%,?,?,r_20170804-070005
180,ERC,294,EuropeCoin,"$1,779,429 ",$0.180098,"9,880,338","$5,673",0.23%,8.71%,-3.48%,r_20170804-070005
181,AXIOM,945,Axiom,? ,$0.005488,?,Low Vol,0.18%,3.08%,3.03%,r_20170804-070005
182,CAB,725,Cabbage,"$19,598 ",$0.001866,"10,499,996",*,Low Vol,0.25%,4.12%,r_20170804-070005
183,STEX,875,STEX,? ,$0.343539,?,*,$540,1.43%,-3.57%,r_20170804-070005
184,TOA,170,ToaCoin,"$8,983,266 ",$0.005352,"1,678,544,151","$85,600",1.25%,2.77%,0.30%,r_20170804-070005
185,VAL,591,Valorbit,"$96,829 ",$0.000028,"3,475,871,753",Low Vol,0.25%,2.56%,2.51%,r_20170804-070005
186,DASHS,920,Dashs,? ,$0.017912,?,Low Vol,0.13%,19.68%,-11.79%,r_20170804-070005
187,GP,806,Goldpay Coin,? ,$0.006179,?,*,"$254,200",-1.24%,2.82%,r_20170804-070005
188,BTG,921,Bitgem,? ,$1.20,?,Low Vol,0.19%,89.16%,-18.90%,r_20170804-070005
189,CVC,58,Civic,"$58,836,660 ",$0.173049,"340,000,000",*,"$880,115",0.35%,6.82%,r_20170804-070005
190,PASL,564,Pascal Lite,"$131,280 ",$0.047608,"2,757,500",Low Vol,-2.28%,0.33%,-33.36%,r_20170804-070005
191,DYN,258,Dynamic,"$2,850,234 ",$1.62,"1,757,386",*,"$15,722",0.19%,0.78%,r_20170804-070005
192,TODAY,916,TodayCoin,? ,$0.001866,?,Low Vol,0.25%,1.55%,?,r_20170804-070005
193,BTCR,683,Bitcurrency,"$33,234 ",$0.000196,"169,598,616",*,Low Vol,0.42%,-64.33%,r_20170804-070005
194,PTOY,148,Patientory,"$11,935,700 ",$0.170510,"70,000,000",*,"$323,612",0.79%,17.19%,r_20170804-070005
195,AIB,1007,Advanced Inte...,? ,$0.003397,?,**,Low Vol,?,2.53%,r_20170804-070005
196,DNT,815,district0x,? ,$0.019538,?,*,"$101,039",-0.16%,?,r_20170804-070005
197,DIBC,695,DIBCOIN,"$28,533 ",$0.005707,"5,000,000",*,Low Vol,-0.59%,-57.58%,r_20170804-070005
198,XOT,870,Internet of T...,? ,$835.72,?,*,$764,0.13%,2.56%,r_20170804-070005
